day_id,open,high,low,close,volume
D0010000,0.61734,0.62018,0.61604,0.61649,8975.7253
D0010015,0.61914,0.62501,0.61577,0.61772,26506.5234
D0010030,0.61875,0.62204,0.6106,0.61168,17334.6429
D0010045,0.61104,0.6119,0.60207,0.60467,18324.3072
D0010100,0.60507,0.6056,0.59372,0.59451,23422.2065
D0010115,0.59543,0.59803,0.58411,0.58748,60108.8287
D0010130,0.58817,0.59,0.58065,0.58937,83410.3228
D0010145,0.58992,0.59104,0.58342,0.58871,8932.824
D0010200,0.58873,0.59695,0.58873,0.59694,10454.5155
D0010215,0.59655,0.60016,0.59569,0.59773,6708.9627
D0010230,0.5978,0.60152,0.59688,0.59694,21671.7545
D0010245,0.59688,0.59688,0.58949,0.59087,13190.4906
D0010300,0.59094,0.59234,0.58748,0.5892,17781.8556
D0010315,0.58742,0.59221,0.58534,0.58534,6030.8776
D0010330,0.58525,0.58619,0.5736,0.57833,90577.3979
D0010345,0.57892,0.5907,0.57892,0.5877,20940.2485
D0010400,0.58733,0.59088,0.58525,0.58878,8122.6956
D0010415,0.58755,0.59115,0.58175,0.5908,30486.6655
D0010430,0.59112,0.59543,0.58327,0.58406,21388.392
D0010445,0.58323,0.58534,0.578,0.57966,14847.6754
D0010500,0.58,0.58482,0.57565,0.57603,19582.5251
D0010515,0.57724,0.58065,0.57341,0.5735,20660.2783
D0010530,0.57352,0.5816,0.5726,0.57338,24579.1298
D0010545,0.57373,0.57941,0.57039,0.57941,11814.5963
D0010600,0.5795,0.58226,0.57322,0.58226,16728.9146
D0010615,0.58242,0.58265,0.57637,0.57677,7156.6527
D0010630,0.57704,0.57889,0.569,0.569,12224.7432
D0010645,0.57025,0.57161,0.5645,0.56841,30574.3585
D0010700,0.57131,0.57131,0.55439,0.55502,94655.4591
D0010715,0.55481,0.56815,0.5481,0.56815,140458.5726
D0010730,0.56696,0.57103,0.5648,0.56656,11745.8991
D0010745,0.56703,0.57654,0.56703,0.57654,51833.4302
D0010800,0.57661,0.57661,0.56995,0.57066,14801.7583
D0010815,0.57136,0.57136,0.56019,0.56064,21855.2504
D0010830,0.56015,0.56655,0.55728,0.55875,15694.4625
D0010845,0.55906,0.55934,0.54956,0.55258,131943.9074
D0010900,0.5521,0.55846,0.5441,0.55811,181307.5033
D0010915,0.55765,0.56362,0.55612,0.55875,50564.8388
D0010930,0.56074,0.56503,0.55523,0.55915,15635.5261
D0010945,0.55781,0.56765,0.55713,0.5662,34373.4172
D0011000,0.56619,0.56619,0.55997,0.56161,5672.7836
D0011015,0.5616,0.56185,0.55355,0.55517,46691.4662
D0011030,0.55447,0.55887,0.55323,0.55669,10049.0376
D0011045,0.55707,0.5626,0.55209,0.5601,79688.9875
D0011100,0.56006,0.56162,0.55312,0.55476,6368.1968
D0011115,0.55373,0.55597,0.55141,0.55354,7157.2363
D0011130,0.55557,0.56582,0.55557,0.56582,19855.275
D0011145,0.56605,0.57324,0.56501,0.57263,9397.878
